nombre,nombre_src,qid,eswiki,lat,lon,fiabilidad,fuente,pob_-3000,pob_-2500,pob_-2000,pob_-1600,pob_-1350,pob_-1200,año_-3000,año_-2500,año_-2000,año_-1600,año_-1350,año_-1200,nota
Acrotiri,Akrotiri,Q421232,Acrotiri (Santorini),36.351389,25.403611,1,Reba–Seto 2016 (modelski),,,,20000,,,,,,-1500,,,
Adab,Adab,Q346445,Adab,31.94700807,45.96842134,1,Reba–Seto 2016 (modelski),10000,20000,10000,10000,,,-2800,-2500,-2000,-1800,,,
Agadé,Akkad,Q150996,Agadé,32.77156192,44.32045916,2,Reba–Seto 2016 (modelski),,,30000,,,,,,-2200,,,,QID sin coordenadas en Wikidata; posición de Reba–Seto
Akshak,Akshak,Q593537,Akshak,33.94720142,44.24471719,3,Reba–Seto 2016 (modelski),,10000,,,,,,-2500,,,,,QID sin coordenadas en Wikidata; posición de Reba–Seto; geocodificado dudoso (fiabilidad 3)
Alepo,Aleppo,Q41183,Alepo,36.216667,37.166667,1,Reba–Seto 2016 (modelski+chandler),,,10000,10000,,,,,-1800,-1700,,,
Amarna,Amarna,Q5736,Amarna,27.64528963,30.89624244,1,Reba–Seto 2016 (chandler),,,,,30000,,,,,,-1360,,
Anshan,Anshan,Q569107,Anshan (Persia),30.01201958,52.40857658,1,Reba–Seto 2016 (modelski),10000,10000,10000,10000,,,-3000,-2500,-2000,-1800,,,
Anyang,Anyang,Q324293,Anyang,36.09944,114.32889,3,Reba–Seto 2016 (chandler),,,,,,30000,,,,,,-1200,geocodificado dudoso (fiabilidad 3)
Argos,Argos,Q13533353,,37.63333,22.73333,1,Reba–Seto 2016 (chandler),,,,,,24000,,,,,,-1200,
Assur,Assur,Q200200,Aššur,35.456667,43.2625,1,Reba–Seto 2016 (modelski),,,10000,10000,10000,20000,,,-1900,-1600,-1400,-1200,
Avaris,Avaris,Q309282,Avaris,30.78629566,31.82221773,1,Reba–Seto 2016 (modelski+chandler),,,20000,50000,,,,,-1800,-1600,,,
Babilonia,Babylon,Q5684,Babilonia (ciudad),32.536389,44.420833,1,Reba–Seto 2016 (modelski+chandler),,,,60000,,75000,,,,-1600,,-1200,
Bad-tibira,Badtibira,Q1372270,Bad-tibira,31.766667,46.004444,1,Reba–Seto 2016 (modelski),,,10000,10000,,,,,-1800,-1800,,,
Bo,Bo,Q11040185,,34.733333,112.783333,1,Reba–Seto 2016 (modelski),,,,24000,,,,,,-1600,,,
Choga Zanbil,Dur-Untash,Q4523,Choga Zanbil,32.008333,48.520833,1,Reba–Seto 2016 (modelski),,,,,,10000,,,,,,-1200,
Citio,Kition,Q1743884,Citio,34.916667,33.633333,1,Reba–Seto 2016 (modelski),,,,,30000,,,,,,-1400,,
Ciudad Zhengzhou Shang,Ao,Q203132,Ciudad Zhengzhou Shang,34.766667,113.65,2,Reba–Seto 2016 (modelski+chandler),,,,,32000,,,,,,-1360,,
Cnosos,Knossos,Q173527,Cnosos,35.2979516,25.16329744,1,Reba–Seto 2016 (modelski+chandler),,,,15000,30000,,,,,-1600,-1360,,
Dholavira,Dholavira,Q9468,Dholavira,23.886111,70.216667,1,Reba–Seto 2016 (modelski),,15000,10000,,,,,-2300,-2000,,,,
